frame.number,frame.time_relative,wlan.ra,wlan.ta
2076,89.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2077,89.504410000,00:00:00:00:00:08,00:00:00:00:00:03
2096,90.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2097,90.500916000,00:00:00:00:00:08,00:00:00:00:00:03
2115,91.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2116,91.505229000,00:00:00:00:00:08,00:00:00:00:00:03
2135,92.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2136,92.500796000,00:00:00:00:00:08,00:00:00:00:00:03
2137,92.504683000,00:00:00:00:00:08,00:00:00:00:00:03
2156,93.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2157,93.505429000,00:00:00:00:00:08,00:00:00:00:00:03
2175,94.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2176,94.503412000,00:00:00:00:00:08,00:00:00:00:00:03
2177,94.504429000,00:00:00:00:00:08,00:00:00:00:00:03
2197,95.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2198,95.504530000,00:00:00:00:00:08,00:00:00:00:00:03
2217,96.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2218,96.502074000,00:00:00:00:00:08,00:00:00:00:00:03
2236,97.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2237,97.501096000,00:00:00:00:00:08,00:00:00:00:00:03
2257,98.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2258,98.503612000,00:00:00:00:00:08,00:00:00:00:00:03
2259,98.504829000,00:00:00:00:00:08,00:00:00:00:00:03
2260,98.505446000,00:00:00:00:00:08,00:00:00:00:00:03
2278,99.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2279,99.501136000,00:00:00:00:00:08,00:00:00:00:00:03
2280,99.504583000,00:00:00:00:00:08,00:00:00:00:00:03
2301,100.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2302,100.500656000,00:00:00:00:00:08,00:00:00:00:00:03
2322,101.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2323,101.501714000,00:00:00:00:00:08,00:00:00:00:00:03
2324,101.506660000,00:00:00:00:00:08,00:00:00:00:00:03
2343,102.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2344,102.500956000,00:00:00:00:00:08,00:00:00:00:00:03
2345,102.507439000,00:00:00:00:00:08,00:00:00:00:00:03
2364,103.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2365,103.503392000,00:00:00:00:00:08,00:00:00:00:00:03
2385,104.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2386,104.500596000,00:00:00:00:00:08,00:00:00:00:00:03
2405,105.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2406,105.500816000,00:00:00:00:00:08,00:00:00:00:00:03
2425,106.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2426,106.500816000,00:00:00:00:00:08,00:00:00:00:00:03
2444,107.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2445,107.503392000,00:00:00:00:00:08,00:00:00:00:00:03
2463,108.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2464,108.500656000,00:00:00:00:00:08,00:00:00:00:00:03
2484,109.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2485,109.503272000,00:00:00:00:00:08,00:00:00:00:00:03
2504,110.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2505,110.501176000,00:00:00:00:00:08,00:00:00:00:00:03
2524,111.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2525,111.504530000,00:00:00:00:00:08,00:00:00:00:00:03
2545,112.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2546,112.505289000,00:00:00:00:00:08,00:00:00:00:00:03
2565,113.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2566,113.502554000,00:00:00:00:00:08,00:00:00:00:00:03
2567,113.508360000,00:00:00:00:00:08,00:00:00:00:00:03
2586,114.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2587,114.500936000,00:00:00:00:00:08,00:00:00:00:00:03
2605,115.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2606,115.505547000,00:00:00:00:00:08,00:00:00:00:00:03
2626,116.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2627,116.503012000,00:00:00:00:00:08,00:00:00:00:00:03
2628,116.505647000,00:00:00:00:00:08,00:00:00:00:00:03
2629,116.510584000,00:00:00:00:00:08,00:00:00:00:00:03
2648,117.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2649,117.502872000,00:00:00:00:00:08,00:00:00:00:00:03
2669,118.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2670,118.503132000,00:00:00:00:00:08,00:00:00:00:00:03
2690,119.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2691,119.500836000,00:00:00:00:00:08,00:00:00:00:00:03
2692,119.505003000,00:00:00:00:00:08,00:00:00:00:00:03
2693,119.506540000,00:00:00:00:00:08,00:00:00:00:00:03
2711,120.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2712,120.500736000,00:00:00:00:00:08,00:00:00:00:00:03
2713,120.501693000,00:00:00:00:00:08,00:00:00:00:00:03
2714,120.509100000,00:00:00:00:00:08,00:00:00:00:00:03
2715,120.513733000,00:00:00:00:00:08,00:00:00:00:00:03
2750,121.508981000,00:00:00:00:00:08,00:00:00:00:00:03
2772,122.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2773,122.503352000,00:00:00:00:00:08,00:00:00:00:00:03
2774,122.504509000,00:00:00:00:00:08,00:00:00:00:00:03
2801,123.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2802,123.500876000,00:00:00:00:00:08,00:00:00:00:00:03
2820,124.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2821,124.500716000,00:00:00:00:00:08,00:00:00:00:00:03
2840,125.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2841,125.500676000,00:00:00:00:00:08,00:00:00:00:00:03
2859,126.499959000,00:00:00:00:00:08,00:00:00:00:00:03
